Year,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
electricity(BTU),2.14866E+12,2.16762E+12,2.31832E+12,2.33538E+12,2.30126E+12,2.37234E+12,2.52683E+12,2.48987E+12,2.43252E+12,2.49025E+12,2.52571E+12,2.56006E+12,2.59299E+12,2.62536E+12,2.65799E+12,2.69076E+12,2.72295E+12,2.75506E+12,2.78727E+12,2.82034E+12,2.8531E+12,2.88469E+12,2.90252E+12,2.93086E+12,2.95934E+12,2.98703E+12,3.01394E+12,3.03947E+12,3.06368E+12,3.08711E+12,3.10957E+12,3.13102E+12,3.15126E+12,3.16967E+12,3.18713E+12,3.20313E+12,3.217E+12
coal(BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
natural gas(BTU),3791200000,8530200000,18008200000,35068600000,36016400000,35068600000,38859800000,36964200000,18322697265,18579982919,18664986779,18737368493,18795168497,18844757426,18892234921,18936597660,18972953793,19004707414,19033300967,19063798000,19088175687,19100888748,19019605702,19004637161,18987267873,18961543541,18927738382,18882347456,18825917930,18762050018,18689856811,18609167738,18519122860,18416334049,18306235608,18186145445,18052602039
petroleum diesel (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heat (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
biomass (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kerosene (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heavy or residual fuel oil (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG propane or butane (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hydrogen (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
