Year,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
electricity(BTU),5.55221E+12,5.26029E+12,5.15888E+12,4.7826E+12,4.75796E+12,4.86601E+12,5.15035E+12,5.24323E+12,5.91266E+12,6.00031E+12,6.14064E+12,6.27934E+12,6.41557E+12,6.5513E+12,6.68856E+12,6.82703E+12,6.96492E+12,7.1034E+12,7.24299E+12,7.38561E+12,7.52824E+12,7.66865E+12,7.7735E+12,7.90651E+12,8.04051E+12,8.173E+12,8.30395E+12,8.43171E+12,8.55629E+12,8.67914E+12,8.79972E+12,8.9178E+12,9.0328E+12,9.14286E+12,9.25043E+12,9.35397E+12,9.45584E+12
coal(BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
natural gas(BTU),5.75789E+12,5.60624E+12,5.71997E+12,5.59676E+12,5.84887E+12,5.49155E+12,6.00621E+12,5.88963E+12,5.86334E+12,5.81036E+12,5.80712E+12,5.79997E+12,5.78838E+12,5.77433E+12,5.75966E+12,5.7441E+12,5.72618E+12,5.70695E+12,5.68684E+12,5.66734E+12,5.64611E+12,5.62154E+12,5.56994E+12,5.53771E+12,5.50494E+12,5.46993E+12,5.43279E+12,5.39256E+12,5.34943E+12,5.30445E+12,5.25738E+12,5.20822E+12,5.15675E+12,5.10207E+12,5.04571E+12,4.98696E+12,4.9272E+12
petroleum diesel (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heat (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
biomass (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kerosene (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heavy or residual fuel oil (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG propane or butane (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hydrogen (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
